name,highway,shape_length
N Sawant Road,residential,146.3067633756985
Indumati Sakrikar Marg,unclassified,189.179102725579
Wodehouse Rd,secondary,109.449509232315
Bhaskar Rao Kargutkar Marg,residential,256.840663790936
Dumayne Marg,residential,501.571022253721
Lala Ningam Road,residential,291.7280974672965
Panday Marg,residential,116.796197033474
Nathalal Parikh Road,secondary_link,49.1737227022068
Brahma Kumari Road,residential,134.19049674978
W G Union Road,residential,209.678834711305
Harbour Heights service road,service,205.449078148128
S Vaswani Road,tertiary,272.6033231515936
First Pasta Lane,residential,175.943266390583
S Bharucha Marg,residential,286.345111236367
Walton Road,residential,175.514472923174
Rajwadkar Street,residential,282.473119793282
Second Pasta Lane,unclassified,155.304982246585
Justice Devshankar V Vyas Marg,residential,214.899065148745
G Sawant Marg,unclassified,162.128935373986
Shri Haji Niyaz Ahmed Azmi Marg,residential,304.513867510675
Cowasji Jahangir Road,residential,117.137921942039
Strand Road,residential,235.235662948052
GD Somani Road,tertiary,717.381106890843
Apollo Bandar Road/P J Ramchandani Marg (Strand Raod),tertiary,507.178670865415
Nanabhai Moos Marg,secondary,1110.9022421407615
Mahul Road,tertiary,725.3451616254255
Mysore Colony Connector,residential,147.507285427992
Choitram Gidwani Marg (Kolwada Borla Road),secondary,1901.60343898505
Scheme 57 Road no.1A,residential,131.469922451117
I D Bhuva Road,residential,298.151898806313
Road No 14,residential,339.122319040291
Barkat Ali Dargah Road,tertiary,503.461161415938
Salt Pan Road,unclassified,835.489487652923
Scheme 57 Road no.14A,residential,643.838718066443
Road No 32,residential,550.181258381607
G Dardi Marg,residential,362.854831661162
Road No 32A,residential,108.102906134477
L Kasbe Marg,residential,310.064008521266
Road No 29,residential,730.5331580667586
Mahatma Gandhi Road,secondary,546.428565726098
MG Road,secondary,546.428565726098
Road No 27,residential,307.760194663192
Puranmal Singhani Road,unclassified,400.027849444746
P B Sule Marg,residential,435.32023015874
Road No 28A,residential,506.873482967125
Road No 15,residential,235.783707545704
Road No 28B,residential,135.949033065579
Road No 16,primary,231.246993731896
R Jaimal Yagnik Road,residential,529.750517764866
Chidambaram Marg,residential,345.212293050104
J K Bhasin Marg,residential,485.460681951365
Road No 8,unclassified,410.983374769457
Road No 13,residential,367.092468164258
Sion Circle Flyover,trunk,1260.86716417092
M P T Road,unclassified,599.375606723692
N Phadnavis Flyover,primary,354.7792546160095
G.D. Ambedkar Marg,tertiary,826.817426854963
B J Deorukhkar Marg,unclassified,612.875431386197
Govindji Keni Road,residential,228.82150936478948
Sewri Cemetery Road,unclassified,180.032925303217
Sewri Cross Road,unclassified,760.6495553384345
Sriram Tekdi Road,unclassified,434.119736432648
Sewri Koliwada Road,tertiary,380.7301734616375
Parel Bhowada Street,residential,111.565598482155
Jivraj Road,tertiary,291.07898900424846
T Jivraj Road,tertiary,1392.88835863896
Slanjekar Path,unclassified,411.578600709089
M G Vasahat Marg,unclassified,371.899492229583
Eknath Ghadi Marg,unclassified,203.335663125591
Jerbai Wadia Marg,secondary,1764.56070458523
Elphinstone Bridge,secondary,341.52145619733153
V V D Buva Road,residential,759.237841758396
Jyotiba Phule Marg,residential,757.179793677618
Marg No 2,unclassified,130.533597384232
Parsee Colony Road No 4,residential,282.813893385753
Road No 37,unclassified,150.019170543889
Balaram Khedekar Marg,residential,560.5360682768921
Jain Derasar Road,residential,378.270660365543
P Pednekar Marg,unclassified,240.654011789137
Road No 19,unclassified,203.18725661564
Road No 5,residential,310.6740230387075
Parsee Colony Road No 5,residential,132.996835465517
Scheme 5 Road no.5,residential,198.956843273847
Scheme 5 Road no.4,residential,225.491945140641
Lady Jehangir Road,residential,230.56940592746702
Scheme 5 Road no.3,residential,224.431572045107
Dinshaw Master Road,residential,335.463672260926
Marg No 1,unclassified,218.302630675989
Khareghat Road,residential,149.870691665809
Scheme 5 Road no.2,residential,223.427451437205
Rustom Tirandaz Marg,residential,199.441810142172
Rajaram Keshav Vaidya Marg,residential,383.32463669812
Sir Bhalchandra Road,residential,361.804615957343
Jame Jamshed Road,residential,286.84159797558135
R K Parekh Road,residential,275.481024170023
Road no.10,residential,228.304551272426
Dr Ghanti Road,residential,301.098314378588
Parsee Colony Road No.13,residential,173.449538282305
D V Pradhan Road,residential,222.462021593868
Jehangir Vimadalal Road,residential,229.971947200604
Hormusji Adenwala Road,residential,772.886574026033
Mancherji Joshi Road,residential,316.6545705600938
Firdosi Road,residential,288.463552075231
D S Baretto Road,unclassified,248.614431259798
Swami Gyan Jiwandas Marg,tertiary,194.30396459279106
Road No 26,tertiary,660.662827986337
Khodadad Circle,trunk,314.801455478376
Tilak Road Extension,tertiary,524.305480319432
Katrak Road,secondary,680.632152869221
Saint Paul Marg,unclassified,242.706753561419
V R C Bhide Marg,service,274.418045354568
Chhabildas Road,pedestrian,89.14732868082385
M Sanghi Marg,unclassified,162.064604289031
Ranade Road Extension,pedestrian,237.10333226032
N.M. Kale Marg,unclassified,882.208613186532
Dr D'Silva Marg,residential,248.998851035614
Abaji Marg,unclassified,171.494560274777
S S Wagh Road (Morbaugh Road),unclassified,574.180194017519
Kakasaheb Gadgil Marg,unclassified,492.15943829550156
Matkar Marg,unclassified,449.908432914664
Prof V.S. Agashe Marg,tertiary,600.064428941224
"K,W, Chitale Marg",residential,358.612712474634
S L Matkar Road,unclassified,279.0295447347475
J Bhatankar Marg,secondary,324.754702428863
S M Jadhav Road (Road No 2),residential,499.293720726769
D Vachanalaya Marg,footway,131.063056268019
Dr Narayan Joshi Rd,unclassified,210.442704753041
Moreshwar Chintaman Jawle Marg,pedestrian,198.558308077415
Madhavdas Pasta Marg,residential,286.365814713699
D Raul Marg,unclassified,409.07996894264
G Maharaj Marg,unclassified,153.566377684668
Baburao Parulekar Marg,unclassified,267.9682040099825
Mumbai Marathi Granth Sangrahalaya Marg,tertiary,445.0225911894015
Raobahadur S.K. Bole Marg,tertiary,337.38592109151796
Dadasaheb Phalke Marg,tertiary,1162.67337251044
Tilak Road,primary,277.434761316745
Gokhale Road,primary,517.113331406883
Balshet Madurkar Marg,unclassified,413.03811516391954
Chamarbaug Wala Road,unclassified,314.375338967232
Aimai Merwanji Street,unclassified,296.364123967532
P Guruji Street,unclassified,286.690409176848
Shirodkar Marg,unclassified,456.676505854273
J Merwanji Street,unclassified,338.886310526711
K Jadhav Marg,unclassified,167.208311471321
Dr Batliwala Marg,unclassified,165.431039313478
B Mandir Road,unclassified,136.9907040998
Fitwala Road,unclassified,380.622366567476
V L Parulekar Marg,unclassified,363.107095427072
Shri Parmar Guruji Marg,residential,234.665684523759
R Kamal Marg,unclassified,312.082653049245
jksfsdfsd,unclassified,117.978162120693
Saint Xavier Street,unclassified,779.833751851485
Gokhale Society Lane,unclassified,363.186651841153
Dr Ernest Borges Marg,tertiary,690.4607518964594
Telang Road,residential,1165.04990219194
Shradhanand Road,residential,290.82902486287
Mahilashram Road,residential,231.297098893683
Bhimani Street,residential,293.80405035634
K A Subramanyam Marg,residential,563.373436054131
Matunga Station Road,residential,268.896264478175
Scheme 57 Road no.32,residential,287.312976104165
Telang Cross Road no.2,residential,199.359604369865
Road No 4,unclassified,254.925273679464
Scheme 5 Road no.9,residential,187.22746197149849
R.P. Masani Marg,residential,256.3831274771
Road No 33,unclassified,176.038048797736
Deodhar Road,residential,360.178234052829
U Bhat Marg,residential,111.65868257630551
Bal Govind Das Road,residential,317.162230734856
Laxmi Narayan Lane,residential,359.162720629263
Bhagwandas Narottamdas Marg,residential,233.323139572756
Telang Cross Road no.3,residential,290.890859110794
Scheme 57 Road no.10,residential,279.91519637036
Pandit Satawlekar Marg,unclassified,554.883497025158
Telang Cross Road,residential,155.936367729304
Wenden Avenue,unclassified,280.460251914743
L J Marg,residential,98.8051420800225
Scheme 5 Road no.6,residential,124.364373284066
Scheme 6 Road no.1,residential,483.525510467178
Scheme 5 Road no.10,residential,171.010176858066
VJTI Marg,residential,146.594027726116
Bhandarkar Road,tertiary,421.257795881266
King's Circle,trunk,459.443721176219
Sitaladevi Temple Road,tertiary,673.148956559765
Mia Mohd Chhotani Road,tertiary,614.35375224806
Dharavi Main Road,unclassified,1612.18016145586
Sulochana Shetty Marg,secondary,63.70654966294795
Pitamber Lane,unclassified,210.134184725535
90 Feet Road,tertiary,1175.997176923539
Sion Bandra Link Road,primary,307.659696120702
Lt Dilip Gupte Marg,residential,947.35806237439
Soonawala Agiary Lane,unclassified,47.50132257735965
St michael school road,residential,208.891573418148
Mori Road,tertiary,319.8628738914319
R. Raikar Marg,residential,135.63970361995052
Bhagoji Balooji Keer Marg,unclassified,274.760143879137
Kapad Bazaar Road,unclassified,393.843791424413
Gabriel Road,unclassified,554.12529503794
H M A Faqir Street,unclassified,305.650196773422
S B Kadri Marg,unclassified,198.022114696837
Balamia Road,unclassified,91.3206812817639
L J Cross Road 1,unclassified,107.9758005875957
SL Raheja Hospital Marg,secondary,312.6362952667875
Sitaladevi Temple Road (West),unclassified,408.218564478945
Mahim Sion Link Road,secondary,38.9129663611135
Lady Jamshedji Road,primary,3027.648832752515
Swatantrya Veer Savarkar Marg,secondary,492.472378193699
Padmabai Thakkar Marg,unclassified,316.044858411338
J K Sawant Marg,unclassified,350.63396070499846
Ganesh Peth Lane,residential,195.809508777657
Ram Maruti Marg,residential,164.08975848119098
D L Vaidya Marg,residential,366.034197649722
P Gunidas Road,residential,228.127483069511
Shiv Sena Bhavan Path,residential,365.081746727529
Dnanyeshwar Mandir Marg,unclassified,171.290574491919
Pandurang Naik Marg,unclassified,587.241120392122
Keluskar Road North,residential,488.055025818248
P L K Marg,residential,209.336386234786
Anant Patil Marg,residential,234.9360690936875
Bhagat Gully,residential,242.3256005392185
Lt Prakash Kotnis Path,residential,510.546797039839
Mahim Sarvajanik Vachnalaya Marg,residential,165.234953904004
Gopi Tank Marg,residential,358.796125548638
S K S Marg,unclassified,238.301650257079
Manmala Tank Path,unclassified,402.696971300055
Taikalwadi Marg,unclassified,298.713606703757
Shivaji Park Road no.2,residential,168.612873418812
Jambhekar Path,unclassified,359.726020619402
Khot Gali,residential,216.800937216317
Bhandar Gully,residential,529.61763348831
Dr Madhukar B. Raut Marg,residential,1430.35529918981
MN Marg,unclassified,181.146288408926
D S Babrekar Marg,unclassified,433.901843096949
Veer Nariman Marg,tertiary,458.564534755027
SA Smira Road,unclassified,630.281782098975
Veer Santaji Lane,residential,105.915186362507
S N Munje Road,unclassified,274.95236929426864
Worli Hill Road,unclassified,77.2322365562704
Ganpat Jadhav Marg,unclassified,863.444149837537
B Temkar Marg,unclassified,292.403695981828
Murari Ghag Marg,unclassified,215.112524187661
J A Ravil Marg,unclassified,340.926076365478
New Prabhadevi Road,unclassified,905.736834447877
R B Anant Desi Marg,residential,1036.20785692281
Sir Pochkhanwala Marg,tertiary,457.5860273849
P Balu Marg,unclassified,425.68261544341
B R Thokle Marg,unclassified,120.089978571748
D N Wakrikar Marg,unclassified,481.14776331136
Guruvarya B R Thokle Marg,unclassified,233.206133865697
Hind Cycle Road,unclassified,436.790945554469
H R Divekar Marg,unclassified,203.06071639599543
Yadav Patil Lane,unclassified,266.630296557093
Laxminarsingh Papan Marg,unclassified,472.540574540645
J Palkar Road,residential,624.392722692247
Professor Narendra Ganpat Bansode Marg,unclassified,437.517055916865
Pandurang Budhkar Marg,secondary,1560.7729576013148
Shankar Rao Naram Path (Gowalia Chawl Lane),tertiary,1153.01074908997
C R Marg,unclassified,184.217294810244
Sudam Kalu Ahire Marg,unclassified,1557.45945215002
Appasaheb Marathe Marg,primary,845.268496531446
Senapati Bapat Marg (Tulsi Pipe Road),secondary,68.2772538322128
Dr. R. G. Thadani Marg,secondary,315.28203627867117
Khan Abdul Gaffar Khan Marg,trunk,384.45453824819
Prabhadevi New Road,secondary,686.993611411207
Hosp Lane,unclassified,112.93829729627
Church Street,unclassified,107.703488533279
D Lane,unclassified,89.9583415541166
Nava Street,unclassified,115.447859504083
Malet Bandar Road,tertiary,300.246802269638
Nawab Tank Bridge Road,unclassified,163.82658550887902
Kasara Basin Road,service,225.176065454952
Nawab Tank Road,unclassified,156.845439906917
Narsu Vithoba Nakwa Marg,unclassified,139.47308085712
MD Naik Marg,unclassified,140.485398609379
Muzawar Pakhadi Road,unclassified,435.7964947595815
Nawab Tank Bridge,unclassified,45.2886536105545
Dockyard Road,secondary,764.5340879492295
Barrister Nath Pai Marg,primary,2326.56929140846
Imamwada Road; Dharamsi Street,unclassified,131.495887204925
Yaqoob Street,unclassified,99.156049928062
1st Balu Changu Patil Marg,unclassified,298.024672564996
Babula Tank Cross Lane,unclassified,320.853115001484
Imamwada Road,residential,422.851302377623
J Rathod Marg,tertiary,684.282397864354
D Koyande Road,unclassified,134.063365747012
A N Surve Marg (Umerkhadi Road),unclassified,307.585661361341
Narovji Hill Road No 11A,unclassified,39.4866932666208
1st Nowroji Hill Road,unclassified,246.85694512383
2nd Balu Changu Patil Path,unclassified,141.999663101336
Nowroji Hill Road No 2,unclassified,236.401948230413
Nowroji Hill Road No 19,unclassified,116.643552141901
Nowroji Hill Road No 7,unclassified,224.213602507313
Nowroji Hill Road No 21,unclassified,70.5735247173273
Saint Mary Road,unclassified,358.770111437958
Nowroji Hill Road N0 16,unclassified,101.369149593006
Mirza Ali Road,unclassified,113.55631378448
Belvedere Road,unclassified,183.0677797987121
Nowroji Hill Road No 11,unclassified,255.40377475755
Jail Road North Cross Lane,unclassified,88.775365399736
2nd Flank Road,unclassified,186.730267244465
Nowroji Hill Road No 9,unclassified,197.233698569004
2nd GP Lane,unclassified,196.368236182398
Liladhar L Shah Road; Liladhar L Shah Road; Liladhar L Shah Road; Liladhar L Shah Road; Liladhar L Shah Road; Liladhar L Shah Road; Liladhar Lakhamshi Shah Marg (Clive Road); Dr K Raishi Shah Marg,unclassified,296.209360910977
Nowroji Hill Road No 4,unclassified,135.92611460399976
Asha Sadan Marg,unclassified,119.091334566936
Jail Road North; Laxman Narayan Jadhav Road (Jail Road North),unclassified,226.472587621657
Umerkhadi Cross Lane,unclassified,187.491014602897
G Bawdi Road,unclassified,170.535989258785
Nowroji Hill Road No 5,unclassified,246.626725538211
Jail Road South,unclassified,214.494239722786
Manji Rathod Road,unclassified,132.493816212823
R Naik Road,unclassified,391.062062515025
Raichur Street,unclassified,341.806161391173
Nowroji Hill Road No ?,unclassified,38.2627256102269
Hancock Bridge,tertiary,85.5520337852241
Samanthbhai Nanji Marg (Jail Road East),tertiary,805.29459065741
Dr Meisheri Road,tertiary,341.2959339557425
Shivdas Champsi Marg (Mazagoan Road),tertiary,531.605858953929
Sardar Vallabhbhai Patel Road,secondary,125.544055923034
P D' Mello Road,primary,1190.92218801329
Sardar Vallabhbhai Patel Road (Sandhurst Road),secondary,861.828556665826
Nakhoda Street,unclassified,65.5908439098181
2nd Cross Lane Ghoghari Mohalla,unclassified,56.2079901888104
Tandel Street South,unclassified,142.359257464816
JB Shah Road (Chinch Bandar Road),unclassified,528.409707353468
3rd Clive Cross Road,unclassified,56.4197201433957
Kalyan Street,unclassified,387.323973795213
Nagadevi Cross Ln,unclassified,70.95677567662909
M E Sarang Marg,unclassified,321.386722987325
Broach Street,unclassified,82.6160451796654
Dontad Cross Street,unclassified,224.759648151902
2nd Clive Cross Road,unclassified,59.139026662882
Bhaji Pala Lane,unclassified,75.8453450578852
Solapur Street,unclassified,350.421101107013
Israil Mohalla Lane,service,107.009938769804
4th Clive Cross Road,unclassified,56.1612397332288
Nagdevi Street,living_street,104.292919065986
Kazi Syed Street,unclassified,120.975910723727
Ismail Curtey Marg,unclassified,355.303206115163
Nishanpada Cross Lane,unclassified,104.922371692558
Abhechand Gandhi Marg,unclassified,196.531334912228
Daryasthan Street,unclassified,237.682223478406
Old Bangalipura Road,unclassified,139.470400728028
Nagdevi Cross Lane,unclassified,40.1896603966121
1st Clive Cross Road,unclassified,55.9628794517514
New Bangalipura Street,unclassified,84.1554941436973
Tantanpura Street,unclassified,146.241925716162
Pune Street,unclassified,363.098801341238
Ml Dahanukar Road (Carmchael Road),unclassified,59.4634413111593
Miya Amhed Chotani Road,unclassified,129.876704347881
Veer Vithaldas Chandan Street (De Souza Street),unclassified,484.939338577718
M Narayanrao Koli Street,unclassified,107.87388544712
Kurla Street,unclassified,108.006243045995
1st Flank Road,unclassified,153.678575696359
5th Clive Cross Road,unclassified,63.9794932961163
Thane Street,unclassified,388.904083089757
Hazrat Abbas Street (Samuel Street),unclassified,330.42345687172747
Masjid Siding Road,unclassified,127.120933693205
D Rattansey Marg,unclassified,238.192566333962
Narsi Natha Street,unclassified,175.128042964732
Keshavji Naik Road (New Chinch Bandar Road),unclassified,533.292888862068
Boat Hard Road,unclassified,768.390227657669
4th Lane,unclassified,251.761529098929
South Wharf Road,unclassified,293.735583707584
2st Lane,unclassified,242.830515003713
S A M Dattar Road,unclassified,425.0401488319
Quay Street,unclassified,932.355476826425
Coal Bundar Road,unclassified,401.723876216695
Kaara Street,unclassified,247.74319240811
Seventh Street,unclassified,843.729354854192
Magazine Street,unclassified,1132.7221949748
1st Lane,living_street,302.4292978992265
Cotton Avenue,unclassified,1980.32865843847
Sixth Street,unclassified,784.303569442264
First Avenue,unclassified,402.188183054099
Hay Bandar Road,tertiary,381.155823477398
Signal Hill Avenue,tertiary,781.9353247185454
Sant Savata Marg,tertiary,109.876423370175
Third Avenue,unclassified,496.622170503901
Fourth Street,unclassified,705.30809733424
Masonet Road,tertiary,321.355629959642
BC 3,unclassified,93.2415709449449
BC 2,unclassified,100.490226593439
Zakeria Bandar Marg,unclassified,2389.59151029013
Haji Bandar Road,tertiary,1185.7756348496
Messent Road,tertiary,771.827080572323
Sane Guruji Marg (Arthur Road),secondary,456.319171519477
H A Palay Marg,unclassified,351.62007928868
First Street,unclassified,476.941920668343
Tanaji Malsure Road (Albert Road),unclassified,509.003670319317
A G Pawar Marg,unclassified,556.410380048091
Second Street,unclassified,580.858347407369
S N Reddy Road,unclassified,192.719202130706
Second Avenue,unclassified,622.080718142423
Third Street,unclassified,645.689620679924
Dinshaw Petit Road,residential,957.983300956307
Ganesh Nagar Lane,unclassified,350.962614426708
Ghodapdeo Road,tertiary,235.303439743567
T B Kadam Marg (Chinchpoki Road),tertiary,842.30623379389
Jeejeebhoy Lane,tertiary,118.536677233797
G D Ambedkar Marg (Parel Tank Road),tertiary,338.974254488568
Shrikanth Hadkar Marg,secondary,519.191491124216
Station Road,tertiary,260.550159814653
N M Cross Road No 1,residential,182.695098015431
Dadoji Konddev Marg,unclassified,152.3572393550298
Sitapalwadi Road,unclassified,223.382407501804
Cross Road 2,residential,173.4428219084005
PS Mandlik Bridge,secondary,67.7541880831119
N U B Marg,unclassified,314.453012725934
DN Singh Road No 1,unclassified,83.3124614997914
DN Singh Road No 2,residential,198.296770232763
DN Singh Road No 4,unclassified,131.035458502345
K R Mhatre Marg,unclassified,285.340806282475
E.S. Patanwala Marg,tertiary,1097.21747829725
Keshavdada Borkar Road,unclassified,490.588763798737
Cross Road 1,residential,104.07014859070779
K Borkar Road,unclassified,170.619413437136
Seth Moti Shah Road (Love Lane),unclassified,982.353790197741
Sheik Hafizuddin Marg (Sankli Street),unclassified,569.129099903467
Champsi Bhimji Marg,unclassified,362.403754901664
Exchange Street,unclassified,1225.98196144176
Fifth Street,unclassified,866.737542465312
Ghodapedo Cross Road,unclassified,299.399122817712
Rambhau Bhogle Marg,tertiary,566.0083447445045
Dr Mascarenhas Road (Mount Road),tertiary,961.611778729035
N M Joshi Marg (Delisle Road),primary,351.4442869744575
Sophia College Lane,unclassified,315.122829241147
Janata Nagar Marg,unclassified,375.680964331153
Maulana Azad Road North,unclassified,725.625871881542
Junior Boricha Marg,unclassified,1145.48619651785
BK Singh Marg,unclassified,200.226882934013
Rajabali Patel Lane,unclassified,319.131951004502
Maratha Mandir Marg,unclassified,467.489537416167
Ghelabhai Street,unclassified,125.836081226586
G Babu Sakpal Marg,unclassified,151.821029955828
Shakti Mills Lane,unclassified,591.384865651657
YMCA Road,residential,319.191179889735
M U Rajab Road,unclassified,310.386524937506
Awabai Kashinath Street,unclassified,108.69583463632651
R B Chandurkar Road (Gell Street),unclassified,422.135814001166
Madhav Rao Gangan Street,unclassified,337.065320317214
Sakubai Mohite Marg,unclassified,719.558588470623
Motibai Street,unclassified,548.385291243798
Farukh S Oomerbhoy Marg,unclassified,393.513324094323
Sane Guruji Marg,unclassified,432.393273008752
Mohmad Shahid Marg (Morland Road),unclassified,531.460360312041
G H Parundekar Marg,unclassified,369.118006367009
Pais Street,residential,413.163604549606
Ansari Lane,unclassified,170.655834753528
B G Kher Marg,residential,709.905499297396
off Dr E Moses Road,service,218.784942832535
L Melville Marg,unclassified,190.4017718892465
N Gamadia Cross Road,unclassified,150.283172073529
MLD Road,unclassified,149.255150360308
Keshavrao Khadye Marg,secondary,256.0291962882295
Shahir Amar Shaik Road,unclassified,214.835139635762
ML Dahanukar Road,unclassified,88.9324546499016
Reynolds Road,unclassified,198.919491597575
2nd Sankli Street,unclassified,139.960526404394
Tulsiwadi Path,unclassified,234.358684512603
Tank Pakhadi Road,unclassified,530.452733423446
Hatutma Sitaram Ghadi Gaonkar Street,unclassified,482.074831917735
M Sethi Marg,service,340.826258176798
1st Sankli Street,unclassified,146.932463578873
Dadasaheb Vichare Road,unclassified,806.895856290558
G B 3rd Lane,unclassified,180.941133358162
Musa Killedar Street,residential,431.077776499149
Cyrus Avenue,unclassified,224.594375560975
